,name
0,Alfalfa Sprout
1,Apple
2,Apricot
3,Artichoke
4,Asian Pear
5,Asparagu
6,Atemoya
7,Avocado
8,Bamboo Shoot
9,Banana
10,Bean Sprout
11,Bean
12,Beet
13,Belgian Endive
14,Bell Pepper
15,Bitter Melon
16,Blackberrie
17,Blueberrie
18,Bok Choy
19,Boniato
20,Boysenberrie
21,Broccoflower
22,Broccoli
23,Brussels Sprout
24,Cabbage
25,Cactus Pear
26,Cantaloupe
27,Carambola
28,Carrot
29,Casaba Melon
30,Cauliflower
31,Celery
32,Chayote
33,Cherimoya
34,Cherrie
35,Coconut
36,Collard Green
37,Corn
38,Cranberrie
39,Cucumber
40,Date
41,Dried Plum
42,Eggplant
43,Endive
44,Escarole
45,Feijoa
46,Fennel
47,Fig
48,Garlic
49,Gooseberrie
50,Grapefruit
51,Grape
52,Green Bean
53,Green Onion
54,Green
55,Guava
56,Hominy
57,Honeydew Melon
58,Horned Melon
59,Iceberg Lettuce
60,Jerusalem Artichoke
61,Jicama
62,Kale
63,Kiwifruit
64,Kohlrabi
65,Kumquat
66,Leek
67,Lemon
68,Lettuce
69,Lima Bean
70,Lime
71,Longan
72,Loquat
73,Lychee
74,Madarin
75,Malanga
76,Mandarin Orange
77,Mango
78,Mulberrie
79,Mushroom
80,Napa
81,Nectarine
82,Okra
83,Onion
84,Orange
85,Papaya
86,Parsnip
87,Passion Fruit
88,Peache
89,Pear
90,Pea
91,Pepper
92,Persimmon
93,Pineapple
94,Plantain
95,Plum
96,Pomegranate
97,Potatoe
98,Prickly Pear
99,Prune
100,Pummelo
101,Pumpkin
102,Quince
103,Radicchio
104,Radishe
105,\bRaisins\b
106,Raspberrie
107,Red Cabbage
108,Rhubarb
109,Romaine Lettuce
110,Rutabaga
111,salad
112,Shallot
113,Snow Pea
114,Spinach
115,Sprout
116,Squash
117,Strawberrie
118,String Bean
119,Sweet Potato
120,Tangelo
121,Tangerine
122,Tomatillo
123,Tomato
124,Turnip
125,Ugli Fruit
126,vegetable
127,Water Chestnut
128,Watercre
129,Watermelon
130,Waxed Bean
131,Yam
132,Yellow Squash
133,Yuca/Cassava
134,Zucchini Squash
